generation	best	sd	avg
252	277226	8567.41068384395	251309.7624750499
253	277226	8400.070537813905	251670.91816367264
254	277226	8603.452918146964	251631.4251497006
255	277226	8726.185374915285	251345.57684630738
256	277226	8572.217200809366	251368.55389221557
257	277226	8734.315024040836	251445.250499002
258	277226	8536.229039411473	251659.0499001996
259	277226	8586.827117890894	251385.16566866267
260	277226	8679.93179918169	251290.50399201596
261	277226	8647.464914800184	251622.43413173652
262	277226	8821.156286999594	251791.39720558882
263	277226	8724.118364256237	251538.10578842316
264	277226	8650.295637025985	251550.9620758483
265	277226	8627.725094267695	251373.29540918165
266	277226	8698.506588915025	251364.48502994012
267	277226	8429.456010813576	251557.67764471058
268	277226	8693.35017953254	251334.04091816366
269	277226	8451.868636307652	251727.03393213573
270	277226	8453.739714046269	251588.33133732536
271	277226	8616.786417586654	251240.3103792415
272	277226	8611.29933551742	251707.61976047905
273	277226	8765.627166481838	251332.0748502994
274	277226	8587.346287719669	251711.53193612775
275	277226	8718.51017894185	251348.40818363274
276	277226	8535.548935568659	251653.74750499002
277	277226	8516.889342595558	251453.69061876248
278	277226	8595.024880936577	251783.748502994
279	277226	8550.18294070191	251860.91516966067
280	277226	8639.621610653043	251498.61676646708
281	277226	8582.157189883463	251835.65668662675
282	277226	8582.946861759487	251810.75249500998
283	277226	8782.851696214164	251314.43013972056
284	277226	8707.320132324123	251677.5618762475
285	277226	8699.345969530048	251637.85828343313
286	277226	8720.448294802518	251563.10578842316
287	277226	8450.684377391	251595.85429141717
288	277226	8539.80391840612	251547.91516966067
289	277226	8547.949387564091	251611.05389221557
290	277226	8453.65376037977	251807.76846307385
291	277226	8697.675648500015	251650.05289421158
292	277226	8642.426225270086	251608.2135728543
293	277226	8512.72518785518	251537.28942115768
294	277226	8857.530622019854	251450.45808383235
295	277226	8636.09366172428	251564.1616766467
296	277226	8458.273584087834	251972.61477045907
297	277226	8602.990631120256	251713.15169660677
298	277226	8666.085984978883	251491.86726546907
299	277226	8524.907450883033	251622.16666666666
300	277226	8736.7009527339	251716.9371257485
301	277226	8580.000612017247	251769.40119760478
302	277226	8509.401600087167	251569.1636726547
303	277226	8783.828277262948	251615.20558882237
304	277226	8681.902988213342	251562.48403193612
305	277226	8551.649811252868	251488.04690618764
