generation	best	sd	avg
83	310605	18194.709252439847	301634.3133732535
84	312131	18539.898402185634	301604.380239521
85	312131	19521.683524612738	301425.41217564873
86	312131	19051.511111287724	302193.1087824351
87	312131	18704.565354641323	302894.376247505
88	312131	19016.492232878518	303092.18962075847
89	312131	19276.4719999109	303355.57984031935
90	312131	19390.637727405112	303787.1516966068
91	312434	20100.58967732038	303676.69760479045
92	312602	18586.568753244024	305204.1576846307
93	312602	20332.446233018047	304222.4540918164
94	312602	20462.037892133452	304609.68063872255
95	315154	19794.56787676303	305418.4640718563
96	315154	19992.302131764813	305708.2135728543
97	315154	20837.517788794208	305277.96706586826
98	315154	21048.633130710998	305400.0079840319
99	315154	21424.555910714837	305692.32934131735
100	315154	21370.786754821343	305697.54391217564
101	315885	22065.795663740988	305367.1506986028
102	315945	21620.95146904169	306079.25648702594
103	315945	20826.36692904829	307297.76746506983
104	315945	21116.88194410886	307358.97704590816
105	316312	21981.616459710138	307375.0548902196
106	316312	21570.373531400703	307833.1746506986
107	317537	21624.04323854837	308275.19061876246
108	318108	21064.031428959646	308875.04191616765
109	318108	20446.942962595775	309596.3043912176
110	319197	20749.638027727407	309885.09481037926
111	319197	21629.801507805205	309567.6007984032
112	319197	20437.962606147583	310640.9650698603
113	319197	22141.592600657572	309575.5459081836
114	319197	20310.85196609651	311656.51497005986
115	319197	20444.32062510016	311726.8612774451
116	320010	21115.69831915762	311501.9061876247
117	320010	20693.2428776325	312173.5548902196
118	320010	20923.09017869812	312423.02095808386
119	320440	21891.375589660598	312158.0469061876
120	320440	20823.168470418248	313183.7894211577
121	320440	18564.272853326456	315185.5718562874
122	320440	20176.72690284109	314293.6487025948
123	321821	20101.1280249269	314870.0249500998
124	321821	21837.070976800755	313987.2005988024
125	322747	20651.988134901898	315073.2584830339
126	322747	22358.135967731418	314068.35528942116
127	324624	22070.11651934229	314617.65469061874
128	324624	21523.04419877065	315237.82934131735
129	324624	22003.50051447267	315052.9181636727
130	324624	22666.947536472202	314797.31936127745
131	324624	22393.77847657618	315469.6097804391
132	324624	22124.2578165388	315790.13173652696
133	324667	22691.622092193076	315601.1996007984
