generation	best	sd	avgcatastrophe
132	327974	19580.711760741855	322265.36526946106	NaN
133	328461	21066.85101481244	321859.00399201596	NaN
134	328461	22879.06431343682	320802.79341317364	NaN
135	329346	22958.0972765633	321060.8892215569	NaN
136	329535	21607.69845004902	322235.0379241517	NaN
137	329535	21739.608629430015	322537.29441117763	NaN
138	329747	22011.182441542558	322666.46606786427	NaN
139	329747	23457.56427819624	321744.77345309383	NaN
140	329777	25696.19090335332	320289.0668662675	NaN
141	329777	22820.36891157206	322699.71656686626	NaN
142	331469	23319.14939514116	322607.9760479042	NaN
143	331469	24286.794559019767	322230.6626746507	NaN
144	331469	23876.32251995287	322625.23453093815	NaN
145	331561	24018.33914767129	322879.81037924153	NaN
146	332207	23809.33904016508	323198.2045908184	NaN
147	332207	27345.74680131774	320654.0099800399	NaN
148	332207	23936.67059188893	323340.4171656687	NaN
149	332207	23899.018330675182	323772.25249501	NaN
150	332207	25015.242330573295	322940.27145708585	NaN
151	332207	25113.641180157403	323312.84530938126	NaN
152	332207	24295.243230807002	323974.8612774451	NaN
153	332562	24307.552412279554	324228.2385229541	NaN
154	332562	24777.97567628958	324013.53293413174	NaN
155	332981	24390.365645134505	324441.8043912176	NaN
156	333261	24456.381497997158	324476.2415169661	NaN
157	333261	23446.167836331475	325402.370259481	NaN
158	333261	24805.35373941824	324585.16167664673	NaN
159	333261	22458.5466757883	326303.1886227545	NaN
160	333261	21938.64084051622	326855.75548902195	NaN
161	334263	24043.76582491514	325429.4900199601	NaN
162	334263	23714.37230948789	326026.9371257485	NaN
163	334263	23448.230432278517	326234.15269461076	NaN
164	334263	21171.13906805207	327803.04191616765	NaN
165	335010	24639.463761386713	325720.65269461076	NaN
166	335010	22945.375942495415	326798.5538922156	NaN
167	335010	24303.68049326613	326082.7684630739	NaN
168	335010	25209.58675818958	325670.22954091814	NaN
169	335010	24318.070309531035	326383.19760479045	NaN
170	335010	25153.152496343107	326181.9530938124	NaN
171	335101	26316.194291434	325285.29041916167	NaN
172	335101	25456.845637633218	325791.88223552896	NaN
173	335101	25704.155192323586	325762.4640718563	NaN
174	335298	24474.19958314613	327176.29141716566	NaN
175	335298	22876.513248057912	328326.9161676647	NaN
176	335630	23762.876614420285	327999.04291417164	NaN
177	335630	23292.379705066913	328412.88323353295	NaN
178	335630	23732.854844155365	328197.90419161675	NaN
179	337226	24170.371072075257	328013.10678642715	NaN
180	337226	26306.719159153286	326547.1117764471	NaN
181	337226	26926.04592203432	326282.83133732533	NaN
182	337226	24655.78433264819	328064.25249501	NaN
183	337226	24798.526093610893	327994.9101796407	NaN
184	337226	23380.500895973903	329139.2684630739	NaN
185	337226	24512.9792381735	328803.2205588822	NaN
186	337226	25117.562257976202	328539.08882235526	NaN
187	337226	25662.809555686355	328161.5279441118	NaN
188	337226	23893.881046137314	329592.94011976046	NaN
189	337718	24888.266929312318	328991.0868263473	NaN
190	337718	25720.13901702517	328594.874251497	NaN
191	337718	25146.471968501814	329209.63173652696	NaN
192	337949	23198.152324870163	330726.1666666667	NaN
193	337949	25014.659273174042	329884.1497005988	NaN
194	338540	23604.269302746383	330832.628742515	NaN
195	338540	24312.893031769836	330659.9880239521	NaN
196	338540	21857.30995556121	332303.7375249501	NaN
197	338540	19438.327020332	333790.5988023952	NaN
198	339130	18142.099585519238	334578.80339321354	NaN
199	339130	21882.267898292677	332848.84530938126	NaN
200	339130	20136.460119729494	333897.56986027944	NaN
201	339130	23115.366088965697	332463.6676646707	NaN
202	339353	23292.817083371392	332621.68263473053	NaN
203	339353	23972.79360170085	332182.8992015968	NaN
204	339353	22025.270312493274	333472.5758483034	NaN
205	339353	23485.923773700037	332611.9081836327	NaN
206	339353	24032.784394417034	332342.5648702595	NaN
207	339353	25349.643438541396	331449.2884231537	NaN
208	339659	24058.6958428095	332497.7754491018	NaN
209	339659	26385.636783024715	330905.5658682635	NaN
210	339659	25053.231602458734	331809.9381237525	NaN
211	339659	27527.633775325914	330189.1766467066	NaN
212	339791	27945.241388550905	330014.6087824351	NaN
213	339925	28709.52341007589	329085.380239521	NaN
214	339925	28971.75653118205	329152.14271457086	NaN
215	340080	30189.006647112954	328118.1586826347	NaN
216	340080	28561.252956964126	329477.67964071856	NaN
217	340080	28976.16331380238	329383.2594810379	NaN
218	340080	27793.94542100805	330332.96906187624	NaN
219	340080	28987.594396576347	329456.5718562874	NaN
220	340304	29016.84696974906	329417.877245509	NaN
221	340304	28316.877033732155	330012.49301397207	NaN
222	340304	27511.059639058625	330689.48602794413	NaN
223	340304	25436.804210340062	332365.43013972056	NaN
224	340304	24933.18447036007	332728.38323353295	NaN
225	340816	27941.354150473922	330569.92914171657	NaN
226	340816	27635.770727851628	330942.5489021956	NaN
227	341155	27083.06468689058	331662.21856287424	NaN
228	341155	27544.381279270485	331209.56786427146	NaN
229	341155	27267.11730367454	331363.8433133733	NaN
230	341155	28796.241772762052	330537.98003992013	NaN
231	341155	25496.332861772644	333048.27045908186	NaN
232	341155	26986.005609893797	331838.89520958083	NaN
233	341464	26800.832181786405	332218.03293413174	NaN
234	341464	27108.307295779094	332158.9870259481	NaN
235	341482	25280.322240565176	333571.622754491	NaN
236	341482	25128.22375253458	333771.8433133733	NaN
237	341482	26340.07859621937	333103.2375249501	NaN
