generation	best	sd	avg
47	269686	9810.813187357224	258542.2724550898
48	275652	9828.936099219021	258535.29740518963
49	275652	9123.068422350045	259337.6007984032
50	275652	9540.436789870117	259831.12774451097
51	275652	10281.694393093863	259016.21756487025
52	276200	10492.732781645047	259254.40918163673
53	276200	10693.669164705452	260517.0249500998
54	276200	10723.675197726447	260713.86626746508
55	276200	10283.580658566647	261844.0598802395
56	276200	10885.632201159806	262067.86726546907
57	276200	11082.1466079739	262616.2894211577
58	280871	11637.522419094204	262366.00499001995
59	280871	11711.278174549605	262257.0618762475
60	280871	11709.55090042459	262911.7764471058
61	280871	11304.146544260802	263486.0279441118
62	280871	12127.220339626887	263577.2255489022
63	280871	12231.87579505568	264681.21856287424
64	280871	10974.641681944586	266673.248502994
65	280871	11691.907525508175	266710.72754491016
66	280871	12047.062722773258	266237.2005988024
67	280871	12813.048029689895	266067.6596806387
68	280871	11793.67472075351	267087.89221556886
69	280871	11762.679077669938	267856.11676646705
70	280871	12106.741048177602	267502.1746506986
71	280871	12586.715994674003	267020.57984031935
72	280871	11976.743769681785	267276.6746506986
73	280871	11674.365281107548	268570.9131736527
74	280871	12854.75782576732	268946.23453093815
75	280871	12897.804788102669	268534.5119760479
76	280871	13296.513617452583	268565.5548902196
77	280871	13605.971924300538	267864.60778443114
78	280871	13276.595264391774	267495.3263473054
79	280871	13124.218446806013	266203.29241516965
80	280871	12773.595882836882	266231.35628742515
81	280871	13020.66006253217	266018.50399201596
82	280871	12657.690572566824	266492.53193612775
83	280871	13451.157149241963	264817.8872255489
84	280871	12718.510909123012	266557.35429141717
85	280871	12904.501015660022	267056.9630738523
86	280871	13492.0314341052	266124.02994011977
87	280871	12619.890473124706	267462.0279441118
88	280871	12281.676403068164	267656.99301397207
89	280871	12964.058898178937	265822.45608782436
90	280871	12372.794491022418	267944.80938123754
91	284970	13216.736533426014	266456.14271457086
92	284970	12802.240198293874	265642.624750499
93	284970	12685.106146161466	266079.04091816366
94	284970	12108.2255841576	266953.2884231537
95	284970	13035.528845022445	267585.5938123753
96	288273	13610.137271365908	268554.92914171657
97	288273	12786.873860899937	269718.0479041916
98	288273	13220.577352484488	267840.7045908184
99	288273	14214.370198882365	267483.7744510978
100	288273	13836.089493347046	267148.0249500998
101	288273	13442.575873563605	267966.3273453094
102	288273	13890.243018513913	267341.29041916167
103	288273	13406.27639567016	269110.9900199601
104	288273	14213.856704422013	268943.1127744511
105	288273	13941.51236157735	268571.1516966068
106	288273	14112.169554326885	267922.01996007987
107	288273	13933.475944434067	268818.14471057884
108	288273	13385.482398009555	267383.50698602793
109	288273	13150.517575851396	267495.0818363273
110	288273	13255.67193103776	268321.621756487
111	288273	13663.772897034514	267993.64471057884
112	288273	13077.956122928817	268963.24550898204
113	288273	12762.564851121251	271310.54291417164
114	288273	13127.554306175962	270238.5289421158
115	288273	13509.778046515532	270125.0449101796
116	288273	14382.099394389286	268901.74351297406
117	288273	14022.547635633504	268141.01397205587
118	288273	13808.677790921616	268568.4740518962
119	288273	12947.170955204065	269781.82135728543
120	288273	14322.638105869617	268298.5668662675
121	288273	13327.967639001166	267582.79441117763
122	288273	13293.370467576324	269033.9141716567
123	288273	13829.772680580936	268633.3602794411
124	288273	12296.359246046415	270077.5628742515
125	288273	12801.462621195955	270878.5858283433
126	288273	13171.266875085728	271799.80738522956
127	288273	13739.055021929284	272531.16866267467
128	288273	14043.604677402516	272454.60479041917
129	288273	14005.778435178241	271262.0109780439
130	288273	13847.716062327107	271999.99500998005
131	288273	14221.08456776578	271358.1646706587
132	288273	13850.469768832632	272730.27145708585
133	288273	14436.231845461656	272378.17065868265
134	288273	15130.542841823322	271215.6397205589
135	288273	14949.447416226467	270962.88423153694
136	288273	15633.797792647007	270016.0469061876
137	288273	14821.222962989688	270122.58782435127
138	288421	14216.471991942171	271024.22654690617
139	288421	14825.538953615112	269876.2764471058
140	288421	15356.894081497026	268555.29441117763
141	288421	14606.233462050654	268816.4750499002
142	288421	14226.664539831205	270507.23253493017
143	288421	14357.372954739047	269542.629740519
144	288421	14137.950682041961	269083.88323353295
145	288421	13832.849527485736	272135.57984031935
146	288421	13995.997770101803	272060.51497005986
147	288421	13041.42915731566	275149.56886227545
148	288421	14269.14405711655	272961.88123752497
149	288421	14238.078436634158	272874.7215568862
150	288421	14652.786972358845	272025.9251497006
151	288421	15115.60851816796	269979.9251497006
152	288421	14574.901938356941	270601.3233532934
153	288421	13393.831284633843	271907.1387225549
154	288421	14074.53227196088	271462.1087824351
155	288421	14238.077617040051	270650.8243512974
156	288421	13994.574321596605	271842.5369261477
157	288421	13465.363106826228	273174.48502994014
