generation	best	sd	avg	cv	catastrophe
54	2183	0	2183	0	NaN
55	2183	0	2183	0	NaN
56	2183	0	2183	0	NaN
57	2183	0	2183	0	NaN
58	2183	0	2183	0	NaN
59	2183	0	2183	0	NaN
60	2183	0	2183	0	NaN
61	2183	0	2183	0	NaN
62	2183	0	2183	0	NaN
63	2183	0	2183	0	NaN
64	2183	0	2183	0	NaN
65	2183	0	2183	0	NaN
66	2183	0	2183	0	NaN
67	2183	0	2183	0	NaN
68	2183	0	2183	0	NaN
69	2183	0	2183	0	NaN
70	2183	0	2183	0	NaN
71	2183	0	2183	0	NaN
72	2183	0	2183	0	NaN
73	2183	0	2183	0	NaN
74	2183	0	2183	0	NaN
75	2183	0	2183	0	NaN
76	2183	0	2183	0	NaN
77	2183	0	2183	0	NaN
78	2183	0	2183	0	NaN
79	2183	0	2183	0	NaN
80	2183	0	2183	0	NaN
81	2183	0	2183	0	NaN
82	2183	0	2183	0	NaN
83	2183	0	2183	0	NaN
84	2183	0	2183	0	NaN
85	2183	0	2183	0	NaN
86	2183	0	2183	0	NaN
87	2183	0	2183	0	NaN
88	2183	0	2183	0	NaN
89	2183	0	2183	0	NaN
90	2183	0	2183	0	NaN
91	2183	0	2183	0	NaN
92	2183	0	2183	0	NaN
93	2183	0	2183	0	NaN
94	2183	0	2183	0	NaN
95	2183	0	2183	0	NaN
96	2183	0	2183	0	NaN
97	2183	0	2183	0	NaN
98	2183	0	2183	0	NaN
99	2183	0	2183	0	NaN
100	2183	0	2183	0	NaN
101	2183	0	2183	0	NaN
102	2183	0	2183	0	NaN
103	2183	0	2183	0	NaN
104	2183	0	2183	0	NaN
105	2183	0	2183	0	NaN
106	2183	0	2183	0	NaN
107	2183	0	2183	0	NaN
108	2183	0	2183	0	NaN
109	2183	0	2183	0	NaN
110	2183	0	2183	0	NaN
111	2183	0	2183	0	NaN
112	2183	0	2183	0	NaN
113	2183	0	2183	0	NaN
114	2183	0	2183	0	NaN
115	2183	0	2183	0	NaN
116	2183	0	2183	0	NaN
117	2183	0	2183	0	NaN
118	2183	0	2183	0	NaN
119	2183	0	2183	0	NaN
120	2183	0	2183	0	NaN
121	2183	0	2183	0	NaN
122	2183	0	2183	0	NaN
123	2183	0	2183	0	NaN
124	2183	0	2183	0	NaN
125	2183	0	2183	0	NaN
126	2183	0	2183	0	NaN
127	2183	0	2183	0	NaN
128	2183	0	2183	0	NaN
129	2183	0	2183	0	NaN
130	2183	0	2183	0	NaN
131	2183	0	2183	0	NaN
132	2183	0	2183	0	NaN
133	2183	0	2183	0	NaN
134	2183	0	2183	0	NaN
135	2183	0	2183	0	NaN
136	2183	0	2183	0	NaN
137	2183	0	2183	0	NaN
138	2183	0	2183	0	NaN
139	2183	0	2183	0	NaN
140	2183	0	2183	0	NaN
141	2183	0	2183	0	NaN
142	2183	0	2183	0	NaN
143	2183	0	2183	0	NaN
144	2183	0	2183	0	NaN
145	2183	0	2183	0	NaN
146	2183	0	2183	0	NaN
147	2183	0	2183	0	NaN
148	2183	0	2183	0	NaN
149	2183	0	2183	0	NaN
150	2183	0	2183	0	NaN
151	2183	0	2183	0	NaN
152	2183	0	2183	0	NaN
153	2183	0	2183	0	NaN
154	2183	0	2183	0	NaN
155	2183	0	2183	0	NaN
156	2183	0	2183	0	NaN
157	2183	0	2183	0	NaN
158	2183	0	2183	0	NaN
159	2183	0	2183	0	NaN
160	2183	0	2183	0	NaN
161	2183	0	2183	0	NaN
162	2183	0	2183	0	NaN
163	2183	0	2183	0	NaN
164	2183	0	2183	0	NaN
165	2183	0	2183	0	NaN
166	2183	0	2183	0	NaN
167	2183	0	2183	0	NaN
168	2183	0	2183	0	NaN
169	2183	0	2183	0	NaN
170	2183	0	2183	0	NaN
171	2183	0	2183	0	NaN
172	2183	0	2183	0	NaN
173	2183	0	2183	0	NaN
174	2183	0	2183	0	NaN
175	2183	0	2183	0	NaN
176	2183	0	2183	0	NaN
177	2183	0	2183	0	NaN
178	2183	0	2183	0	NaN
179	2183	0	2183	0	NaN
180	2183	0	2183	0	NaN
181	2183	0	2183	0	NaN
182	2183	0	2183	0	NaN
183	2183	0	2183	0	NaN
184	2183	0	2183	0	NaN
185	2183	0	2183	0	NaN
186	2183	0	2183	0	NaN
187	2183	0	2183	0	NaN
188	2183	0	2183	0	NaN
189	2183	0	2183	0	NaN
190	2183	0	2183	0	NaN
191	2183	0	2183	0	NaN
192	2183	0	2183	0	NaN
193	2183	0	2183	0	NaN
194	2183	0	2183	0	NaN
195	2183	0	2183	0	NaN
196	2183	0	2183	0	NaN
