generation	best	sd	avg	cv	catastrophe
76	2279	147.19447590644748	2140.78	687.5740426687818	NaN
77	2279	111.85881071848358	2205.52	507.1765874645597	NaN
78	2279	63.67230738140975	2260.67	281.65237465622914	NaN
79	2280	44.30570909697595	2268.71	195.29031518782017	NaN
80	2280	53.88855971991522	2269.73	237.42277592451623	NaN
81	2280	45.64427564317237	2276.21	200.52752445148897	NaN
82	2288	50.2694748431899	2277.01	220.76967094211219	NaN
83	2288	76.71226312090742	2276.42	336.9864221932131	NaN
84	2288	46.340647994667286	2281.83	203.0854533189032	NaN
85	2288	0.34873508801977726	2288.14	1.5240985604892066	NaN
86	2289	2.185812841434001	2288.1	9.552960278982567	NaN
87	2289	0.4725815626252611	2288.67	2.064874196040762	NaN
88	2289	0	2289	0	2289
89	2289	379.96488128523276	1617.39	2349.247128306919	NaN
90	2289	325.3910373254266	1909.69	1703.8945447974625	NaN
91	2289	228.74229158508479	2129.12	1074.351335693079	NaN
92	2289	91.11625330401604	2268.99	401.5718593031087	NaN
93	2289	22.192170336459302	2284.55	97.14022602464074	NaN
94	2289	0.09999999999999998	2288.99	0.4368739050847753	NaN
95	2289	0	2289	0	2289
96	2289	352.09663503652007	1523	2311.862344297571	NaN
97	2289	313.76368431665185	1778.87	1763.8370668832004	NaN
98	2289	254.04894362617566	1973.27	1287.4515075290033	NaN
99	2289	160.6933826650097	2144.02	749.4957260893541	NaN
100	2289	77.10966282516155	2245.17	343.44687852216776	NaN
101	2289	59.34839781520916	2273.7	261.02123329906834	NaN
102	2289	14.268082625853479	2285.76	62.42161305584785	NaN
103	2289	23.09760580535118	2286.66	101.01023241474982	NaN
104	2289	2.901392908256449	2288.69	12.677089987095016	NaN
105	2289	0.09999999999999996	2288.99	0.43687390508477525	NaN
106	2289	0.1714466079977654	2288.97	0.7490120359714868	NaN
107	2289	0.09999999999999996	2288.99	0.43687390508477525	NaN
108	2289	0	2289	0	2289
109	2289	403.46765544452137	1602.25	2518.1317237916764	NaN
110	2289	298.4613192541189	1954.25	1527.242263037579	NaN
111	2289	174.40607324241427	2160.42	807.2785534406007	NaN
112	2289	50.63601145988549	2275.12	222.56413490227104	NaN
113	2289	61.96522648170737	2270.74	272.8856076948809	NaN
114	2289	35.664536894780944	2281.02	156.35345983279825	NaN
115	2289	31.684255083590333	2284.37	138.70018903938652	NaN
116	2290	1.7673812162734943	2289.26	7.7203166799467695	NaN
117	2290	0.19694638556693245	2289.96	0.8600429071552884	NaN
118	2290	0	2290	0	2290
119	2290	380.45205222262115	1577.44	2411.8321598451994	NaN
120	2290	323.40785083203826	1857.78	1740.8296506154566	NaN
121	2290	217.7619446676911	2083.41	1045.2188703504885	NaN
122	2290	102.21291454111811	2240.93	456.1182836640061	NaN
123	2290	12.960744928086081	2287.67	56.65478381097833	NaN
124	2290	19.996929057162035	2287.96	87.40069344377538	NaN
125	2290	20	2288	87.41258741258741	NaN
126	2290	44.815963741289885	2283.29	196.27801874177123	NaN
127	2290	18.975100643855505	2286.69	82.98064295490646	NaN
128	2290	0	2290	0	2290
129	2290	422.29584823242504	1583.88	2666.2111285730293	NaN
130	2290	360.4646883054587	1854.58	1943.645937654125	NaN
131	2290	216.69922739021283	2128.52	1018.0746593417625	NaN
132	2290	65.52403445232211	2267.93	288.91559462735677	NaN
133	2290	14.478583975630821	2287.87	63.28412005765547	NaN
134	2300	10.528959582930778	2289.36	45.990842781086315	NaN
