generation	best	sd	avg
161	324557	18329.01455499322	319833.1387225549
162	324557	23332.025251263163	316736.96706586826
163	324557	21802.503691253773	317655.3512974052
164	324557	21592.925286106693	317886.88522954093
165	324557	20961.411656321805	318409.626746507
166	324557	20847.584774191586	318363.14471057884
167	324557	18359.371533476988	319904.53393213573
168	324557	18731.14532563009	319726.0768463074
169	324557	18271.704151684135	319841.5349301397
170	324557	20988.237997507113	318488.48403193615
171	324557	20916.774703454674	318217.9231536926
172	324557	20191.354806475305	318877.379241517
173	324557	20217.72223861565	318748.3323353293
174	324557	19625.472785713675	318959.03393213573
175	324557	21934.3432366761	317573.8642714571
176	324557	21109.486019497454	318283.69760479045
177	324557	22093.45796594932	317566.52095808386
178	324557	20894.70800694354	318266.77245508984
179	324557	20215.641370615584	318830.630738523
180	324557	20745.31864218284	318393.55688622757
181	324557	19003.747632349747	319447.6017964072
182	324557	22090.322902687425	317473.6467065868
183	324557	21024.099477292482	318187.9101796407
184	324557	19480.142159719366	319237.8532934132
185	324557	20476.646261170492	318598.0988023952
186	324557	19110.874271083212	319463.6946107784
187	324557	22621.238580492125	317147.7964071856
188	324557	20673.212481648505	318415.72954091814
189	324557	23088.603746743505	316899.5858283433
190	324557	20765.73687226172	318505.26646706584
191	324557	19657.531658678166	319191.1846307385
192	324557	19784.631298176122	318988.4890219561
193	324557	19855.563252321914	318932.17864271457
194	324557	21655.228614092666	317924.5868263473
195	324557	20283.146582851237	318567.85429141717
196	324557	21438.857604365305	317926.15269461076
197	324557	20560.733526384454	318606.380239521
198	324557	18905.740273966127	319557.3143712575
199	324557	22399.740132688206	317374.81037924153
200	324557	19693.378208665014	319097.10578842316
201	324557	21330.7977654264	318003.54091816366
202	324557	19915.92252789138	318993.63173652696
203	324557	21574.576631921485	318017.60479041917
204	324557	19202.45914429007	319396.7215568862
205	324557	20906.51256958525	318467.96906187624
206	324557	21262.241042515558	318151.5179640719
207	324557	20661.217138634063	318454.8532934132
208	324557	22170.2057544188	317493.91916167666
209	324557	20218.009400433337	318798.749500998
210	324557	21012.216495096134	318226.65369261475
211	324557	20052.360591391895	318838.1656686627
212	324557	21314.340755749345	318101.2584830339
213	324557	21048.243804745875	318304.0818363273
214	324557	22325.007604617567	317491.07884231536
215	324557	19406.568585921374	319259.3153692615
216	324557	19365.991518909792	319315.89520958083
217	324557	19800.71006980849	319113.76546906185
218	324557	21378.0405869172	318072.7125748503
219	324557	19982.0637049643	318935.1636726547
220	324557	19662.220149837063	319072.5249500998
221	324557	21757.07641683243	317841.1866267465
222	324557	21082.035484903983	318292.81836327346
223	324557	19177.80006225141	319445.73552894214
224	324557	22554.076270525027	317244.25648702594
225	324557	20952.161371515504	318323.9710578842
226	324557	19590.700964747175	319049.1936127744
227	324557	19057.943193344534	319431.28343313374
228	324557	21730.15287406079	317928.79041916167
229	324557	20186.82765016321	318841.92914171657
230	324557	20259.20371501098	318733.19860279444
231	324557	21631.310959391565	317744.15568862273
232	324557	19697.995640659043	319053.0728542914
233	324557	20517.476141557792	318422.75249501
234	324557	20702.213945387168	318403.1007984032
235	324557	19774.873651169888	319039.127744511
236	324557	20047.050130381744	318878.00499001995
237	324557	19599.94887486882	319253.5558882236
238	324557	22398.52255355518	317339.3163672655
239	324557	19661.822557965384	319074.9720558882
240	324557	19140.126331323176	319416.002994012
241	324557	19756.71075170863	319079.8433133733
242	324557	20963.014061248574	318202.0189620759
243	324557	18173.891784290405	319950.5938123753
244	324557	21532.76514304142	317905.69061876246
245	324557	20083.439056687374	318905.47804391215
246	324557	19155.70408038786	319444.6107784431
247	324557	20190.800507415755	318753.9251497006
248	324557	20296.574308443294	318804.76746506983
249	324557	22512.348605342984	317258.51696606784
250	324557	21161.348070857774	318141.5179640719
251	324557	20460.40711595855	318601.22754491016
252	324557	20500.764249852124	318549.03393213573
253	324557	21247.557233373474	318156.5928143713
254	324557	21875.743782498434	317802.2415169661
255	324557	21841.507206457503	317724.0648702595
256	324557	20529.50024440932	318540.0389221557
257	324557	22042.12121976305	317622.14271457086
258	324557	20500.27230482427	318382.4001996008
259	324557	22391.77051412272	317303.0099800399
260	324557	21147.589441101605	318274.2105788423
261	324557	19190.308924914192	319314.51497005986
262	324557	20300.54923943939	318678.4870259481
263	324557	19344.062644892314	319319.751497006
264	324557	20338.045080645938	318709.30938123754
265	324557	20104.36025607453	318820.11676646705
266	324557	21127.79200716451	318151.40319361276
267	324557	19303.4444966291	319285.4750499002
268	324557	22265.49827147617	317382.5459081836
269	324557	18423.564986909754	319762.4720558882
270	324557	19912.250454760688	318842.0818363273
271	324557	20486.531141883206	318551.10678642715
272	324557	20214.37351117426	318794.8612774451
273	324557	21554.786842466707	317899
274	324557	20510.009418244586	318623.76746506983
275	324557	19744.99178845472	319094.19760479045
276	324557	20195.529711353185	318756.50499001995
277	324557	19433.553616251727	319211.76546906185
278	324557	20660.010221483826	318418.72854291415
279	324557	18884.809200237505	319487.3433133733
280	324557	20944.072372052713	318335.59580838325
281	324557	18472.85377098561	319750.3592814371
282	324557	21155.895995046005	318106.3053892216
283	324557	22456.1443410228	317318.02195608785
284	324557	22143.400961034702	317553.2015968064
285	324557	20692.4201290316	318536.2115768463
286	324557	20573.837987996776	318481.371257485
287	324557	20320.60621986906	318678.3982035928
288	324557	19183.33930912063	319402.3433133733
289	324557	21470.77718261831	318011.2245508982
290	324557	20045.646095472366	318962.48602794413
291	324557	22212.818022680483	317398.7125748503
292	324557	20206.77377886636	318760.34630738525
293	324557	19586.247510866284	319208.68962075847
294	324557	22751.021026696555	317055.8483033932
295	324557	19347.938581235034	319352.19061876246
296	324557	20556.06755196142	318602.66866267467
297	324557	20422.750798690715	318604.47005988023
298	324557	21437.141552803227	318018.0109780439
299	324557	19853.312570710954	319187.0249500998
300	324557	20646.849698233513	318511.3972055888
301	324557	18343.938252386743	319784.99600798404
302	324557	21569.27686054277	317894.1137724551
303	324557	19342.030745393073	319358.0768463074
304	324557	20662.281175780707	318456.8972055888
305	324557	21723.88342876594	317877.8323353293
306	324557	20823.624950217014	318325.30239520955
307	324557	21028.47412727445	318397.18263473053
308	324557	19577.68107435939	319130.6756487026
309	324557	22013.805586746836	317627.2614770459
310	324557	19884.90598417324	318966.622754491
311	324557	20896.9817923456	318145.1956087824
312	324557	20309.927418471307	318604.2784431138
313	324557	20575.262693953362	318566.42015968065
314	324557	20444.171952220797	318646.10578842316
315	324557	20616.884894175502	318556.23552894214
316	324557	21466.583306344502	318084.38423153694
317	324557	19384.463824636074	319351.879241517
318	324557	19637.08649988603	319239.1836327345
319	324557	20092.42147211876	318825.85828343313
320	324557	20887.99551095009	318383.9920159681
321	324557	19728.883537064485	319135.3333333333
322	324557	18640.739200508193	319706.94810379244
323	324557	19954.116203383932	318857.92015968065
324	324557	20306.250783519972	318722.35728542914
325	324557	19134.225588796293	319451.1676646707
326	324557	20998.198532026145	318192.6856287425
327	324557	18866.878054729652	319531.2574850299
328	324557	19200.96980194807	319355.54291417164
329	324557	21939.26398493325	317569.10578842316
330	324557	20358.132516386366	318662.36526946106
331	324557	19961.053255466493	318910.0189620759
332	324557	18447.19179536184	319676
333	324557	20239.18136673575	318823.14471057884
334	324557	21041.96248015817	318264.124750499
335	324557	20557.66551645258	318570.19261477044
336	324557	20003.948865925307	318979.2684630739
337	324557	20590.710710350108	318475.4251497006
338	324557	21342.191171552255	318042.9231536926
339	324557	21565.466121538822	317936.51497005986
340	324557	21436.18791043623	317892.82035928144
341	324557	20670.31760136327	318498.2964071856
342	324557	20610.267627446447	318594.6477045908
343	324557	21562.402135118806	317980.76447105786
344	324557	18622.46347109851	319798.749500998
345	324557	21198.38415803237	318168.2764471058
346	324557	19624.73243634773	319007.68163672654
347	324557	20135.02640180665	318769.872255489
348	324557	21567.422087702143	317929.86826347304
349	324557	21309.057766759543	318097.66866267467
350	324557	20764.520645855522	318386.83832335327
351	324557	21342.580364212594	318046.42914171657
352	324557	20826.563685051908	318447.8403193613
353	324557	22458.27319592138	317447.6756487026
354	324557	21455.794397742215	317887.0239520958
355	324557	20291.315335387153	318728.0289421158
356	324557	19282.75709976526	319292.96706586826
357	324557	20128.467168054463	318778.9451097804
358	324557	22713.392181266136	317155.9750499002
359	324557	20494.179257351196	318509.130738523
360	324557	20027.37427661147	318887.628742515
361	324557	20750.346231272702	318431.1027944112
362	324557	20490.809763191228	318586.96906187624
363	324557	20095.404206222673	318868.9820359281
